"","marriages","illegitimate","legitimate","deaths","fraction","lag.marriages","politics","morals","nuptiality","year"
"1",8,17,53,81,0.242857142857143,26,"archbishopric","unchastity","archbishopric",1700
"2",8,10,45,61,0.181818181818182,8,"archbishopric","unchastity","archbishopric",1701
"3",8,5,56,59,0.0819672131147541,8,"archbishopric","unchastity","archbishopric",1702
"4",8,9,44,47,0.169811320754717,8,"archbishopric","unchastity","archbishopric",1703
"5",9,12,39,91,0.235294117647059,8,"archbishopric","unchastity","archbishopric",1704
"6",16,12,42,48,0.222222222222222,9,"archbishopric","unchastity","archbishopric",1705
"7",17,4,52,59,0.0714285714285714,16,"archbishopric","unchastity","archbishopric",1706
"8",12,10,42,61,0.192307692307692,17,"archbishopric","unchastity","archbishopric",1707
"9",19,10,56,62,0.151515151515152,12,"archbishopric","unchastity","archbishopric",1708
"10",15,13,57,64,0.185714285714286,19,"archbishopric","unchastity","archbishopric",1709
"11",23,13,50,70,0.206349206349206,15,"archbishopric","unchastity","archbishopric",1710
"12",14,16,59,54,0.213333333333333,23,"archbishopric","unchastity","archbishopric",1711
"13",15,5,62,90,0.0746268656716418,14,"archbishopric","unchastity","archbishopric",1712
"14",14,8,55,70,0.126984126984127,15,"archbishopric","unchastity","archbishopric",1713
"15",9,8,60,85,0.117647058823529,14,"archbishopric","unchastity","archbishopric",1714
"16",13,3,49,75,0.0576923076923077,9,"archbishopric","unchastity","archbishopric",1715
"17",10,11,59,68,0.157142857142857,13,"archbishopric","unchastity","archbishopric",1716
"18",13,12,58,64,0.171428571428571,10,"archbishopric","unchastity","archbishopric",1717
"19",11,11,50,75,0.180327868852459,13,"archbishopric","unchastity","archbishopric",1718
"20",18,14,62,44,0.184210526315789,11,"archbishopric","unchastity","archbishopric",1719
"21",12,8,53,61,0.131147540983607,18,"archbishopric","unchastity","archbishopric",1720
"22",15,10,55,68,0.153846153846154,12,"archbishopric","unchastity","archbishopric",1721
"23",14,11,71,106,0.134146341463415,15,"archbishopric","unchastity","archbishopric",1722
"24",13,18,52,94,0.257142857142857,14,"archbishopric","unchastity","archbishopric",1723
"25",18,13,52,121,0.2,13,"archbishopric","unchastity","archbishopric",1724
"26",13,10,59,94,0.144927536231884,18,"archbishopric","unchastity","archbishopric",1725
"27",14,7,50,63,0.12280701754386,13,"archbishopric","unchastity","archbishopric",1726
"28",11,12,56,86,0.176470588235294,14,"archbishopric","unchastity","archbishopric",1727
"29",11,13,54,54,0.194029850746269,11,"archbishopric","unchastity","archbishopric",1728
"30",8,11,55,74,0.166666666666667,11,"archbishopric","unchastity","archbishopric",1729
"31",13,22,36,99,0.379310344827586,8,"archbishopric","unchastity","archbishopric",1730
"32",12,10,56,54,0.151515151515152,13,"archbishopric","unchastity","archbishopric",1731
"33",8,7,40,60,0.148936170212766,12,"archbishopric","unchastity","archbishopric",1732
"34",16,8,40,43,0.166666666666667,8,"archbishopric","unchastity","archbishopric",1733
"35",22,11,52,51,0.174603174603175,16,"archbishopric","unchastity","archbishopric",1734
"36",18,7,45,69,0.134615384615385,22,"archbishopric","unchastity","archbishopric",1735
"37",9,7,51,70,0.120689655172414,18,"archbishopric","regulation1","archbishopric",1736
"38",20,4,59,110,0.0634920634920635,9,"archbishopric","regulation1","archbishopric",1737
"39",19,10,51,51,0.163934426229508,20,"archbishopric","regulation1","archbishopric",1738
"40",4,9,62,41,0.126760563380282,19,"archbishopric","regulation1","archbishopric",1739
"41",15,7,50,84,0.12280701754386,4,"archbishopric","regulation1","archbishopric",1740
"42",6,5,53,62,0.0862068965517241,15,"archbishopric","regulation1","archbishopric",1741
"43",4,2,51,66,0.0377358490566038,6,"archbishopric","regulation1","archbishopric",1742
"44",13,8,31,66,0.205128205128205,4,"archbishopric","regulation1","archbishopric",1743
"45",6,4,30,33,0.117647058823529,13,"archbishopric","regulation1","archbishopric",1744
"46",10,10,61,74,0.140845070422535,6,"archbishopric","regulation1","archbishopric",1745
"47",13,13,46,50,0.220338983050847,10,"archbishopric","regulation1","archbishopric",1746
"48",11,12,46,48,0.206896551724138,13,"archbishopric","regulation1","archbishopric",1747
"49",10,5,37,78,0.119047619047619,11,"archbishopric","regulation1","archbishopric",1748
"50",9,9,46,42,0.163636363636364,10,"archbishopric","regulation1","archbishopric",1749
"51",11,7,47,49,0.12962962962963,9,"archbishopric","regulation1","archbishopric",1750
"52",14,13,50,75,0.206349206349206,11,"archbishopric","regulation1","archbishopric",1751
"53",12,10,52,72,0.161290322580645,14,"archbishopric","regulation1","archbishopric",1752
"54",17,10,52,99,0.161290322580645,12,"archbishopric","regulation2","archbishopric",1753
"55",14,7,48,54,0.127272727272727,17,"archbishopric","regulation2","archbishopric",1754
"56",14,3,49,77,0.0576923076923077,14,"archbishopric","regulation2","archbishopric",1755
"57",8,4,59,61,0.0634920634920635,14,"archbishopric","regulation2","archbishopric",1756
"58",8,8,41,91,0.163265306122449,8,"archbishopric","regulation2","archbishopric",1757
"59",16,5,50,84,0.0909090909090909,8,"archbishopric","regulation2","archbishopric",1758
"60",15,6,52,92,0.103448275862069,16,"archbishopric","regulation2","archbishopric",1759
"61",13,3,47,49,0.06,15,"archbishopric","regulation2","archbishopric",1760
"62",13,6,58,63,0.09375,13,"archbishopric","regulation2","archbishopric",1761
"63",7,7,54,59,0.114754098360656,13,"archbishopric","regulation2","archbishopric",1762
"64",4,5,60,87,0.0769230769230769,7,"archbishopric","regulation2","archbishopric",1763
"65",18,3,40,77,0.0697674418604651,4,"archbishopric","regulation2","archbishopric",1764
"66",8,0,50,52,0,18,"archbishopric","regulation2","archbishopric",1765
"67",6,5,43,71,0.104166666666667,8,"archbishopric","regulation2","archbishopric",1766
"68",4,7,39,51,0.152173913043478,6,"archbishopric","regulation2","archbishopric",1767
"69",8,6,37,111,0.13953488372093,4,"archbishopric","regulation2","archbishopric",1768
"70",18,8,36,56,0.181818181818182,8,"archbishopric","regulation2","archbishopric",1769
"71",8,2,56,56,0.0344827586206897,18,"archbishopric","regulation2","archbishopric",1770
"72",13,6,28,100,0.176470588235294,8,"archbishopric","regulation3","archbishopric",1771
"73",9,2,40,76,0.0476190476190476,13,"archbishopric","regulation3","archbishopric",1772
"74",9,4,48,41,0.0769230769230769,9,"archbishopric","regulation3","archbishopric",1773
"75",6,3,42,37,0.0666666666666667,9,"archbishopric","regulation3","archbishopric",1774
"76",4,7,45,48,0.134615384615385,6,"archbishopric","regulation3","archbishopric",1775
"77",7,5,42,33,0.106382978723404,4,"archbishopric","regulation3","archbishopric",1776
"78",13,6,34,49,0.15,7,"archbishopric","regulation3","archbishopric",1777
"79",9,8,41,63,0.163265306122449,13,"archbishopric","regulation3","archbishopric",1778
"80",16,5,39,68,0.113636363636364,9,"archbishopric","regulation3","archbishopric",1779
"81",11,4,48,74,0.0769230769230769,16,"archbishopric","regulation3","archbishopric",1780
"82",7,1,43,39,0.0227272727272727,11,"archbishopric","regulation3","archbishopric",1781
"83",7,6,37,48,0.13953488372093,7,"archbishopric","regulation3","archbishopric",1782
"84",13,1,44,59,0.0222222222222222,7,"archbishopric","regulation3","archbishopric",1783
"85",13,5,47,89,0.0961538461538462,13,"archbishopric","regulation3","archbishopric",1784
"86",11,9,45,69,0.166666666666667,13,"archbishopric","regulation3","archbishopric",1785
"87",3,3,47,66,0.06,11,"archbishopric","regulation3","archbishopric",1786
"88",13,1,36,61,0.027027027027027,3,"archbishopric","regulation3","archbishopric",1787
"89",10,1,43,45,0.0227272727272727,13,"archbishopric","regulation3","archbishopric",1788
"90",10,1,42,36,0.0232558139534884,10,"archbishopric","regulation3","archbishopric",1789
"91",10,3,51,50,0.0555555555555556,10,"archbishopric","regulation3","archbishopric",1790
"92",9,3,48,44,0.0588235294117647,10,"archbishopric","regulation3","archbishopric",1791
"93",12,4,44,40,0.0833333333333333,9,"archbishopric","regulation3","archbishopric",1792
"94",10,4,41,48,0.0888888888888889,12,"archbishopric","regulation3","archbishopric",1793
"95",7,3,52,51,0.0545454545454545,10,"archbishopric","regulation3","archbishopric",1794
"96",8,2,46,66,0.0416666666666667,7,"archbishopric","regulation3","archbishopric",1795
"97",8,2,50,52,0.0384615384615385,8,"archbishopric","regulation3","archbishopric",1796
"98",11,1,44,57,0.0222222222222222,8,"archbishopric","regulation3","archbishopric",1797
"99",15,2,47,58,0.0408163265306122,11,"archbishopric","regulation3","archbishopric",1798
"100",6,3,52,56,0.0545454545454545,15,"archbishopric","regulation3","archbishopric",1799
"101",21,1,52,47,0.0188679245283019,6,"archbishopric","regulation3","archbishopric",1800
"102",12,5,44,53,0.102040816326531,21,"archbishopric","regulation3","archbishopric",1801
"103",9,3,56,76,0.0508474576271186,12,"archbishopric","regulation3","archbishopric",1802
"104",20,3,41,49,0.0681818181818182,9,"changes","secularized","unchanged",1803
"105",16,2,55,64,0.0350877192982456,20,"changes","secularized","unchanged",1804
"106",12,3,51,51,0.0555555555555556,16,"changes","secularized","unchanged",1805
"107",7,6,44,72,0.12,12,"changes","secularized","unchanged",1806
"108",10,4,46,122,0.08,7,"changes","secularized","unchanged",1807
"109",13,1,62,30,0.0158730158730159,10,"changes","secularized","unchanged",1808
"110",12,4,53,78,0.0701754385964912,13,"changes","secularized","unchanged",1809
"111",20,5,54,67,0.0847457627118644,12,"changes","secularized","bavarian",1810
"112",13,2,56,36,0.0344827586206897,20,"changes","secularized","bavarian",1811
"113",9,4,57,46,0.0655737704918033,13,"changes","secularized","bavarian",1812
"114",13,3,49,33,0.0576923076923077,9,"changes","secularized","bavarian",1813
"115",8,2,54,37,0.0357142857142857,13,"changes","secularized","bavarian",1814
"116",3,2,52,59,0.037037037037037,8,"changes","secularized","bavarian",1815
"117",8,6,53,55,0.101694915254237,3,"UpperAustria","secularized","politicalconsent",1816
"118",3,3,46,75,0.0612244897959184,8,"UpperAustria","secularized","politicalconsent",1817
"119",7,2,37,52,0.0512820512820513,3,"UpperAustria","secularized","politicalconsent",1818
"120",5,6,39,21,0.133333333333333,7,"UpperAustria","secularized","politicalconsent",1819
"121",9,6,48,59,0.111111111111111,5,"UpperAustria","secularized","politicalconsent",1820
"122",8,4,45,37,0.0816326530612245,9,"UpperAustria","secularized","politicalconsent",1821
"123",7,7,38,57,0.155555555555556,8,"UpperAustria","secularized","politicalconsent",1822
"124",4,5,41,74,0.108695652173913,7,"UpperAustria","secularized","politicalconsent",1823
"125",7,11,40,21,0.215686274509804,4,"UpperAustria","secularized","politicalconsent",1824
"126",4,3,30,39,0.0909090909090909,7,"UpperAustria","secularized","politicalconsent",1825
"127",9,5,39,37,0.113636363636364,4,"UpperAustria","secularized","politicalconsent",1826
"128",5,6,31,57,0.162162162162162,9,"UpperAustria","secularized","politicalconsent",1827
"129",11,10,36,28,0.217391304347826,5,"UpperAustria","secularized","politicalconsent",1828
"130",9,8,37,35,0.177777777777778,11,"UpperAustria","secularized","politicalconsent",1829
"131",4,5,30,49,0.142857142857143,9,"UpperAustria","secularized","politicalconsent",1830
"132",6,9,37,39,0.195652173913043,4,"UpperAustria","secularized","politicalconsent",1831
"133",9,8,37,54,0.177777777777778,6,"UpperAustria","secularized","politicalconsent",1832
"134",5,9,32,39,0.219512195121951,9,"UpperAustria","secularized","politicalconsent",1833
"135",8,5,38,42,0.116279069767442,5,"UpperAustria","secularized","politicalconsent",1834
"136",3,9,27,39,0.25,8,"UpperAustria","secularized","politicalconsent",1835
"137",8,11,39,84,0.22,3,"UpperAustria","secularized","politicalconsent",1836
"138",7,8,40,31,0.166666666666667,8,"UpperAustria","secularized","politicalconsent",1837
"139",9,13,49,52,0.209677419354839,7,"UpperAustria","secularized","politicalconsent",1838
"140",5,4,32,38,0.111111111111111,9,"UpperAustria","secularized","politicalconsent",1839
"141",6,17,37,36,0.314814814814815,5,"UpperAustria","secularized","politicalconsent",1840
"142",10,10,40,61,0.2,6,"UpperAustria","secularized","politicalconsent",1841
"143",8,14,48,88,0.225806451612903,10,"UpperAustria","secularized","politicalconsent",1842
"144",11,11,51,64,0.17741935483871,8,"UpperAustria","secularized","politicalconsent",1843
"145",18,10,48,55,0.172413793103448,11,"UpperAustria","secularized","politicalconsent",1844
"146",6,6,46,40,0.115384615384615,18,"UpperAustria","secularized","politicalconsent",1845
"147",6,10,38,33,0.208333333333333,6,"UpperAustria","secularized","politicalconsent",1846
"148",4,9,47,36,0.160714285714286,6,"UpperAustria","secularized","politicalconsent",1847
"149",8,8,47,43,0.145454545454545,4,"UpperAustria","secularized","politicalconsent",1848
"150",3,8,40,52,0.166666666666667,8,"UpperAustria","secularized","politicalconsent",1849
"151",6,7,42,39,0.142857142857143,3,"autonomous","secularized","politicalconsent",1850
"152",6,10,42,42,0.192307692307692,6,"autonomous","secularized","politicalconsent",1851
"153",4,8,37,42,0.177777777777778,6,"autonomous","secularized","politicalconsent",1852
"154",7,5,29,57,0.147058823529412,4,"autonomous","secularized","politicalconsent",1853
"155",6,5,38,49,0.116279069767442,7,"autonomous","secularized","politicalconsent",1854
"156",6,7,26,38,0.212121212121212,6,"autonomous","secularized","politicalconsent",1855
"157",6,8,37,52,0.177777777777778,6,"autonomous","secularized","politicalconsent",1856
"158",6,15,27,43,0.357142857142857,6,"autonomous","secularized","politicalconsent",1857
"159",4,6,41,30,0.127659574468085,6,"autonomous","secularized","politicalconsent",1858
"160",6,19,27,31,0.41304347826087,4,"autonomous","secularized","politicalconsent",1859
"161",5,10,34,39,0.227272727272727,6,"autonomous","secularized","politicalconsent",1860
"162",3,2,39,39,0.0487804878048781,5,"autonomous","secularized","politicalconsent",1861
"163",20,10,34,33,0.227272727272727,3,"autonomous","secularized","politicalconsent",1862
"164",6,7,37,32,0.159090909090909,20,"autonomous","secularized","politicalconsent",1863
"165",6,7,30,47,0.189189189189189,6,"autonomous","secularized","politicalconsent",1864
"166",9,14,42,53,0.25,6,"autonomous","secularized","politicalconsent",1865
"167",4,2,34,57,0.0555555555555556,9,"autonomous","secularized","politicalconsent",1866
"168",7,6,37,71,0.13953488372093,4,"autonomous","secularized","politicalconsent",1867
"169",5,8,36,58,0.181818181818182,7,"autonomous","secularized","politicalconsent",1868
"170",7,10,27,59,0.27027027027027,5,"autonomous","secularized","politicalconsent",1869
"171",12,8,34,47,0.19047619047619,7,"autonomous","secularized","politicalconsent",1870
"172",6,9,41,45,0.18,12,"autonomous","secularized","politicalconsent",1871
"173",10,10,32,45,0.238095238095238,6,"autonomous","secularized","politicalconsent",1872
"174",10,12,42,41,0.222222222222222,10,"autonomous","secularized","politicalconsent",1873
"175",6,13,28,38,0.317073170731707,10,"autonomous","secularized","politicalconsent",1874
"176",4,15,36,48,0.294117647058824,6,"autonomous","secularized","politicalconsent",1875
"177",14,22,37,45,0.372881355932203,4,"autonomous","secularized","politicalconsent",1876
"178",12,12,39,45,0.235294117647059,14,"autonomous","secularized","politicalconsent",1877
"179",7,9,29,43,0.236842105263158,12,"autonomous","secularized","politicalconsent",1878
"180",10,10,45,51,0.181818181818182,7,"autonomous","secularized","politicalconsent",1879
"181",10,9,38,31,0.191489361702128,10,"autonomous","secularized","politicalconsent",1880
"182",5,9,39,40,0.1875,10,"autonomous","secularized","politicalconsent",1881
"183",5,9,49,57,0.155172413793103,5,"autonomous","secularized","politicalconsent",1882
"184",9,7,32,67,0.179487179487179,5,"autonomous","secularized","none",1883
"185",11,12,37,51,0.244897959183673,9,"autonomous","secularized","none",1884
"186",16,8,39,42,0.170212765957447,11,"autonomous","secularized","none",1885
"187",7,5,52,58,0.087719298245614,16,"autonomous","secularized","none",1886
"188",14,9,34,34,0.209302325581395,7,"autonomous","secularized","none",1887
"189",7,4,41,54,0.0888888888888889,14,"autonomous","secularized","none",1888
"190",15,6,34,45,0.15,7,"autonomous","secularized","none",1889
"191",11,11,37,42,0.229166666666667,15,"autonomous","secularized","none",1890
"192",9,3,38,70,0.0731707317073171,11,"autonomous","secularized","none",1891
"193",9,6,39,59,0.133333333333333,9,"autonomous","secularized","none",1892
"194",15,11,39,39,0.22,9,"autonomous","secularized","none",1893
"195",6,3,38,27,0.0731707317073171,15,"autonomous","secularized","none",1894
"196",11,9,43,39,0.173076923076923,6,"autonomous","secularized","none",1895
"197",9,2,42,26,0.0454545454545455,11,"autonomous","secularized","none",1896
"198",11,5,37,43,0.119047619047619,9,"autonomous","secularized","none",1897
"199",7,12,39,57,0.235294117647059,11,"autonomous","secularized","none",1898
"200",4,4,41,41,0.0888888888888889,7,"autonomous","secularized","none",1899
