"year","quarter","delay","dud","time","y"
1983,3,0,0,1,2
1983,3,2,0,1,6
1983,3,5,0,1,0
1983,3,8,0,1,1
1983,3,11,0,1,1
1983,3,14,0,1,0
1983,3,17,0,1,0
1983,3,20,0,1,1
1983,3,23,0,1,0
1983,3,26,0,1,0
1983,3,29,0,1,0
1983,3,32,0,1,0
1983,3,35,0,1,0
1983,3,38,0,1,0
1983,3,41,0,1,1
1983,4,0,0,2,2
1983,4,2,0,2,7
1983,4,5,0,2,1
1983,4,8,0,2,1
1983,4,11,0,2,1
1983,4,14,0,2,0
1983,4,17,0,2,0
1983,4,20,0,2,0
1983,4,23,0,2,0
1983,4,26,0,2,0
1983,4,29,0,2,0
1983,4,32,0,2,0
1983,4,35,0,2,0
1983,4,38,0,2,0
1983,4,41,0,2,0
1984,1,0,0,3,4
1984,1,2,0,3,4
1984,1,5,0,3,0
1984,1,8,0,3,1
1984,1,11,0,3,0
1984,1,14,0,3,2
1984,1,17,0,3,0
1984,1,20,0,3,0
1984,1,23,0,3,0
1984,1,26,0,3,0
1984,1,29,0,3,2
1984,1,32,0,3,1
1984,1,35,0,3,0
1984,1,38,0,3,0
1984,1,41,0,3,0
1984,2,0,0,4,0
1984,2,2,0,4,10
1984,2,5,0,4,0
1984,2,8,0,4,1
1984,2,11,0,4,1
1984,2,14,0,4,0
1984,2,17,0,4,0
1984,2,20,0,4,0
1984,2,23,0,4,1
1984,2,26,0,4,1
1984,2,29,0,4,1
1984,2,32,0,4,0
1984,2,35,0,4,0
1984,2,38,0,4,0
1984,2,41,0,4,0
1984,3,0,0,5,6
1984,3,2,0,5,17
1984,3,5,0,5,3
1984,3,8,0,5,1
1984,3,11,0,5,1
1984,3,14,0,5,0
1984,3,17,0,5,0
1984,3,20,0,5,0
1984,3,23,0,5,0
1984,3,26,0,5,0
1984,3,29,0,5,0
1984,3,32,0,5,1
1984,3,35,0,5,0
1984,3,38,0,5,0
1984,3,41,0,5,1
1984,4,0,0,6,5
1984,4,2,0,6,22
1984,4,5,0,6,1
1984,4,8,0,6,5
1984,4,11,0,6,2
1984,4,14,0,6,1
1984,4,17,0,6,0
1984,4,20,0,6,2
1984,4,23,0,6,1
1984,4,26,0,6,0
1984,4,29,0,6,0
1984,4,32,0,6,0
1984,4,35,0,6,0
1984,4,38,0,6,0
1984,4,41,0,6,0
1985,1,0,0,7,4
1985,1,2,0,7,23
1985,1,5,0,7,4
1985,1,8,0,7,5
1985,1,11,0,7,2
1985,1,14,0,7,1
1985,1,17,0,7,3
1985,1,20,0,7,0
1985,1,23,0,7,1
1985,1,26,0,7,2
1985,1,29,0,7,0
1985,1,32,0,7,0
1985,1,35,0,7,0
1985,1,38,0,7,0
1985,1,41,0,7,2
1985,2,0,0,8,11
1985,2,2,0,8,11
1985,2,5,0,8,6
1985,2,8,0,8,1
1985,2,11,0,8,1
1985,2,14,0,8,5
1985,2,17,0,8,0
1985,2,20,0,8,1
1985,2,23,0,8,1
1985,2,26,0,8,1
1985,2,29,0,8,1
1985,2,32,0,8,0
1985,2,35,0,8,0
1985,2,38,0,8,0
1985,2,41,0,8,1
1985,3,0,0,9,9
1985,3,2,0,9,22
1985,3,5,0,9,6
1985,3,8,0,9,2
1985,3,11,0,9,4
1985,3,14,0,9,3
1985,3,17,0,9,3
1985,3,20,0,9,4
1985,3,23,0,9,7
1985,3,26,0,9,1
1985,3,29,0,9,2
1985,3,32,0,9,0
1985,3,35,0,9,0
1985,3,38,0,9,0
1985,3,41,0,9,0
1985,4,0,0,10,2
1985,4,2,0,10,28
1985,4,5,0,10,8
1985,4,8,0,10,8
1985,4,11,0,10,5
1985,4,14,0,10,2
1985,4,17,0,10,2
1985,4,20,0,10,4
1985,4,23,0,10,3
1985,4,26,0,10,0
1985,4,29,0,10,1
1985,4,32,0,10,1
1985,4,35,0,10,0
1985,4,38,0,10,0
1985,4,41,0,10,1
1986,1,0,0,11,5
1986,1,2,0,11,26
1986,1,5,0,11,14
1986,1,8,0,11,6
1986,1,11,0,11,9
1986,1,14,0,11,2
1986,1,17,0,11,5
1986,1,20,0,11,5
1986,1,23,0,11,5
1986,1,26,0,11,1
1986,1,29,0,11,2
1986,1,32,0,11,0
1986,1,35,0,11,0
1986,1,38,0,11,0
1986,1,41,0,11,2
1986,2,0,0,12,7
1986,2,2,0,12,49
1986,2,5,0,12,17
1986,2,8,0,12,11
1986,2,11,0,12,4
1986,2,14,0,12,7
1986,2,17,0,12,5
1986,2,20,0,12,7
1986,2,23,0,12,3
1986,2,26,0,12,1
1986,2,29,0,12,2
1986,2,32,0,12,2
1986,2,35,0,12,0
1986,2,38,0,12,1
1986,2,41,0,12,4
1986,3,0,0,13,13
1986,3,2,0,13,37
1986,3,5,0,13,21
1986,3,8,0,13,9
1986,3,11,0,13,3
1986,3,14,0,13,5
1986,3,17,0,13,7
1986,3,20,0,13,3
1986,3,23,0,13,1
1986,3,26,0,13,3
1986,3,29,0,13,1
1986,3,32,0,13,0
1986,3,35,0,13,0
1986,3,38,0,13,0
1986,3,41,0,13,6
1986,4,0,0,14,12
1986,4,2,0,14,53
1986,4,5,0,14,16
1986,4,8,0,14,21
1986,4,11,0,14,2
1986,4,14,0,14,7
1986,4,17,0,14,0
1986,4,20,0,14,7
1986,4,23,0,14,0
1986,4,26,0,14,0
1986,4,29,0,14,0
1986,4,32,0,14,0
1986,4,35,0,14,0
1986,4,38,0,14,1
1986,4,41,0,14,1
1987,1,0,0,15,21
1987,1,2,0,15,44
1987,1,5,0,15,29
1987,1,8,0,15,11
1987,1,11,0,15,6
1987,1,14,0,15,4
1987,1,17,0,15,2
1987,1,20,0,15,2
1987,1,23,0,15,1
1987,1,26,0,15,0
1987,1,29,0,15,2
1987,1,32,0,15,0
1987,1,35,0,15,2
1987,1,38,0,15,2
1987,1,41,0,15,8
1987,2,0,0,16,17
1987,2,2,0,16,74
1987,2,5,0,16,13
1987,2,8,0,16,13
1987,2,11,0,16,3
1987,2,14,0,16,5
1987,2,17,0,16,3
1987,2,20,0,16,1
1987,2,23,0,16,2
1987,2,26,0,16,2
1987,2,29,0,16,0
1987,2,32,0,16,0
1987,2,35,0,16,0
1987,2,38,0,16,3
1987,2,41,0,16,5
1987,3,0,0,17,36
1987,3,2,0,17,58
1987,3,5,0,17,23
1987,3,8,0,17,14
1987,3,11,0,17,7
1987,3,14,0,17,4
1987,3,17,0,17,1
1987,3,20,0,17,2
1987,3,23,0,17,1
1987,3,26,0,17,3
1987,3,29,0,17,0
1987,3,32,0,17,0
1987,3,35,0,17,0
1987,3,38,0,17,3
1987,3,41,0,17,1
1987,4,0,0,18,28
1987,4,2,0,18,74
1987,4,5,0,18,23
1987,4,8,0,18,11
1987,4,11,0,18,8
1987,4,14,0,18,3
1987,4,17,0,18,3
1987,4,20,0,18,6
1987,4,23,0,18,2
1987,4,26,0,18,5
1987,4,29,0,18,4
1987,4,32,0,18,1
1987,4,35,0,18,1
1987,4,38,0,18,1
1987,4,41,0,18,3
1988,1,0,0,19,31
1988,1,2,0,19,80
1988,1,5,0,19,16
1988,1,8,0,19,9
1988,1,11,0,19,3
1988,1,14,0,19,2
1988,1,17,0,19,8
1988,1,20,0,19,3
1988,1,23,0,19,1
1988,1,26,0,19,4
1988,1,29,0,19,6
1988,1,32,0,19,2
1988,1,35,0,19,1
1988,1,38,0,19,2
1988,1,41,0,19,6
1988,2,0,0,20,26
1988,2,2,0,20,99
1988,2,5,0,20,27
1988,2,8,0,20,9
1988,2,11,0,20,8
1988,2,14,0,20,11
1988,2,17,0,20,3
1988,2,20,0,20,4
1988,2,23,0,20,6
1988,2,26,0,20,3
1988,2,29,0,20,5
1988,2,32,0,20,5
1988,2,35,0,20,1
1988,2,38,0,20,1
1988,2,41,0,20,3
1988,3,0,0,21,31
1988,3,2,0,21,95
1988,3,5,0,21,35
1988,3,8,0,21,13
1988,3,11,0,21,18
1988,3,14,0,21,4
1988,3,17,0,21,6
1988,3,20,0,21,4
1988,3,23,0,21,4
1988,3,26,0,21,3
1988,3,29,0,21,3
1988,3,32,0,21,2
1988,3,35,0,21,0
1988,3,38,0,21,3
1988,3,41,0,21,3
1988,4,0,0,22,36
1988,4,2,0,22,77
1988,4,5,0,22,20
1988,4,8,0,22,26
1988,4,11,0,22,11
1988,4,14,0,22,3
1988,4,17,0,22,8
1988,4,20,0,22,4
1988,4,23,0,22,8
1988,4,26,0,22,7
1988,4,29,0,22,1
1988,4,32,0,22,0
1988,4,35,0,22,0
1988,4,38,0,22,2
1988,4,41,0,22,2
1989,1,0,0,23,32
1989,1,2,0,23,92
1989,1,5,0,23,32
1989,1,8,0,23,10
1989,1,11,0,23,12
1989,1,14,0,23,19
1989,1,17,0,23,12
1989,1,20,0,23,4
1989,1,23,0,23,3
1989,1,26,0,23,2
1989,1,29,0,23,0
1989,1,32,0,23,2
1989,1,35,0,23,2
1989,1,38,0,23,0
1989,1,41,0,23,2
1989,2,0,0,24,15
1989,2,2,0,24,92
1989,2,5,0,24,14
1989,2,8,0,24,27
1989,2,11,0,24,22
1989,2,14,0,24,21
1989,2,17,0,24,12
1989,2,20,0,24,5
1989,2,23,0,24,3
1989,2,26,0,24,0
1989,2,29,0,24,3
1989,2,32,0,24,3
1989,2,35,0,24,0
1989,2,38,0,24,1
1989,2,41,0,24,1
1989,3,0,0,25,34
1989,3,2,0,25,104
1989,3,5,0,25,29
1989,3,8,0,25,31
1989,3,11,0,25,18
1989,3,14,0,25,8
1989,3,17,0,25,6
1989,3,20,0,25,7
1989,3,23,0,25,3
1989,3,26,0,25,8
1989,3,29,0,25,0
1989,3,32,0,25,2
1989,3,35,0,25,1
1989,3,38,0,25,2
1989,3,41,1,25,0
1989,4,0,0,26,38
1989,4,2,0,26,101
1989,4,5,0,26,34
1989,4,8,0,26,18
1989,4,11,0,26,9
1989,4,14,0,26,15
1989,4,17,0,26,6
1989,4,20,0,26,1
1989,4,23,0,26,2
1989,4,26,0,26,2
1989,4,29,0,26,2
1989,4,32,0,26,3
1989,4,35,0,26,2
1989,4,38,1,26,0
1989,4,41,1,26,0
1990,1,0,0,27,31
1990,1,2,0,27,124
1990,1,5,0,27,47
1990,1,8,0,27,24
1990,1,11,0,27,11
1990,1,14,0,27,15
1990,1,17,0,27,8
1990,1,20,0,27,6
1990,1,23,0,27,5
1990,1,26,0,27,3
1990,1,29,0,27,3
1990,1,32,0,27,4
1990,1,35,1,27,0
1990,1,38,1,27,0
1990,1,41,1,27,0
1990,2,0,0,28,32
1990,2,2,0,28,132
1990,2,5,0,28,36
1990,2,8,0,28,10
1990,2,11,0,28,9
1990,2,14,0,28,7
1990,2,17,0,28,6
1990,2,20,0,28,4
1990,2,23,0,28,4
1990,2,26,0,28,5
1990,2,29,0,28,0
1990,2,32,1,28,0
1990,2,35,1,28,0
1990,2,38,1,28,0
1990,2,41,1,28,0
1990,3,0,0,29,49
1990,3,2,0,29,107
1990,3,5,0,29,51
1990,3,8,0,29,17
1990,3,11,0,29,15
1990,3,14,0,29,8
1990,3,17,0,29,9
1990,3,20,0,29,2
1990,3,23,0,29,1
1990,3,26,0,29,1
1990,3,29,1,29,0
1990,3,32,1,29,0
1990,3,35,1,29,0
1990,3,38,1,29,0
1990,3,41,1,29,0
1990,4,0,0,30,44
1990,4,2,0,30,153
1990,4,5,0,30,41
1990,4,8,0,30,16
1990,4,11,0,30,11
1990,4,14,0,30,6
1990,4,17,0,30,5
1990,4,20,0,30,7
1990,4,23,0,30,2
1990,4,26,1,30,0
1990,4,29,1,30,0
1990,4,32,1,30,0
1990,4,35,1,30,0
1990,4,38,1,30,0
1990,4,41,1,30,0
1991,1,0,0,31,41
1991,1,2,0,31,137
1991,1,5,0,31,29
1991,1,8,0,31,33
1991,1,11,0,31,7
1991,1,14,0,31,11
1991,1,17,0,31,6
1991,1,20,0,31,4
1991,1,23,1,31,3
1991,1,26,1,31,0
1991,1,29,1,31,0
1991,1,32,1,31,0
1991,1,35,1,31,0
1991,1,38,1,31,0
1991,1,41,1,31,0
1991,2,0,0,32,56
1991,2,2,0,32,124
1991,2,5,0,32,39
1991,2,8,0,32,14
1991,2,11,0,32,12
1991,2,14,0,32,7
1991,2,17,0,32,10
1991,2,20,1,32,1
1991,2,23,1,32,0
1991,2,26,1,32,0
1991,2,29,1,32,0
1991,2,32,1,32,0
1991,2,35,1,32,0
1991,2,38,1,32,0
1991,2,41,1,32,0
1991,3,0,0,33,53
1991,3,2,0,33,175
1991,3,5,0,33,35
1991,3,8,0,33,17
1991,3,11,0,33,13
1991,3,14,0,33,11
1991,3,17,1,33,2
1991,3,20,1,33,0
1991,3,23,1,33,0
1991,3,26,1,33,0
1991,3,29,1,33,0
1991,3,32,1,33,0
1991,3,35,1,33,0
1991,3,38,1,33,0
1991,3,41,1,33,0
1991,4,0,0,34,63
1991,4,2,0,34,135
1991,4,5,0,34,24
1991,4,8,0,34,23
1991,4,11,0,34,12
1991,4,14,1,34,1
1991,4,17,1,34,0
1991,4,20,1,34,0
1991,4,23,1,34,0
1991,4,26,1,34,0
1991,4,29,1,34,0
1991,4,32,1,34,0
1991,4,35,1,34,0
1991,4,38,1,34,0
1991,4,41,1,34,0
1992,1,0,0,35,71
1992,1,2,0,35,161
1992,1,5,0,35,48
1992,1,8,0,35,25
1992,1,11,1,35,5
1992,1,14,1,35,0
1992,1,17,1,35,0
1992,1,20,1,35,0
1992,1,23,1,35,0
1992,1,26,1,35,0
1992,1,29,1,35,0
1992,1,32,1,35,0
1992,1,35,1,35,0
1992,1,38,1,35,0
1992,1,41,1,35,0
1992,2,0,0,36,95
1992,2,2,0,36,178
1992,2,5,0,36,39
1992,2,8,1,36,6
1992,2,11,1,36,0
1992,2,14,1,36,0
1992,2,17,1,36,0
1992,2,20,1,36,0
1992,2,23,1,36,0
1992,2,26,1,36,0
1992,2,29,1,36,0
1992,2,32,1,36,0
1992,2,35,1,36,0
1992,2,38,1,36,0
1992,2,41,1,36,0
1992,3,0,0,37,76
1992,3,2,0,37,181
1992,3,5,1,37,16
1992,3,8,1,37,0
1992,3,11,1,37,0
1992,3,14,1,37,0
1992,3,17,1,37,0
1992,3,20,1,37,0
1992,3,23,1,37,0
1992,3,26,1,37,0
1992,3,29,1,37,0
1992,3,32,1,37,0
1992,3,35,1,37,0
1992,3,38,1,37,0
1992,3,41,1,37,0
1992,4,0,0,38,67
1992,4,2,1,38,66
1992,4,5,1,38,0
1992,4,8,1,38,0
1992,4,11,1,38,0
1992,4,14,1,38,0
1992,4,17,1,38,0
1992,4,20,1,38,0
1992,4,23,1,38,0
1992,4,26,1,38,0
1992,4,29,1,38,0
1992,4,32,1,38,0
1992,4,35,1,38,0
1992,4,38,1,38,0
1992,4,41,1,38,0
