"Package","Item","Title"
"coda","line","Simple linear regression example"
"countrycode","countrycode_data","Country code translation data frame"
"dichromat","dalton","Effects of daltonism (red-green color blindness)"
"dichromat","dalton.colors (dalton)","Effects of daltonism (red-green color blindness)"
"ggplot2","diamonds","Prices of 50,000 round cut diamonds"
"ggplot2","economics","US economic time series."
"ggplot2","midwest","Midwest demographics."
"ggplot2","movies","Movie information and user ratings from IMDB.com."
"ggplot2","mpg","Fuel economy data from 1999 and 2008 for 38 popular models of car"
"ggplot2","msleep","An updated and expanded version of the mammals sleep dataset."
"ggplot2","presidential","Terms of 10 presidents from Eisenhower to Bush W."
"ggplot2","seals","Vector field of seal movements."
"plyr","baseball","Yearly batting records for all major league baseball players"
"plyr","ozone","Monthly ozone measurements over Central America."
"reshape2","french_fries","Sensory data from a french fries experiment."
"reshape2","smiths","Demo data describing the Smiths."
"reshape2","tips","Tipping data"
"sem","Bollen","Bollen's Data on Industrialization and Political Democracy"
"sem","CNES","Variables from the 1997 Canadian National Election Study"
"sem","Klein","Klein's Data on the U. S. Economy"
"sem","Kmenta","Partly Artificial Data on the U. S. Economy"
"WDI","WDI_data","World Development Indicators series and country information"
"xtable","tli","Math scores from Texas Assessment of Academic Skills (TAAS)"
"datasets","AirPassengers","Monthly Airline Passenger Numbers 1949-1960"
"datasets","BJsales","Sales Data with Leading Indicator"
"datasets","BJsales.lead (BJsales)","Sales Data with Leading Indicator"
"datasets","BOD","Biochemical Oxygen Demand"
"datasets","CO2","Carbon Dioxide Uptake in Grass Plants"
"datasets","ChickWeight","Weight versus age of chicks on different diets"
"datasets","DNase","Elisa assay of DNase"
"datasets","EuStockMarkets","Daily Closing Prices of Major European Stock Indices, 1991-1998"
"datasets","Formaldehyde","Determination of Formaldehyde"
"datasets","HairEyeColor","Hair and Eye Color of Statistics Students"
"datasets","Harman23.cor","Harman Example 2.3"
"datasets","Harman74.cor","Harman Example 7.4"
"datasets","Indometh","Pharmacokinetics of Indomethacin"
"datasets","InsectSprays","Effectiveness of Insect Sprays"
"datasets","JohnsonJohnson","Quarterly Earnings per Johnson & Johnson Share"
"datasets","LakeHuron","Level of Lake Huron 1875-1972"
"datasets","LifeCycleSavings","Intercountry Life-Cycle Savings Data"
"datasets","Loblolly","Growth of Loblolly pine trees"
"datasets","Nile","Flow of the River Nile"
"datasets","Orange","Growth of Orange Trees"
"datasets","OrchardSprays","Potency of Orchard Sprays"
"datasets","PlantGrowth","Results from an Experiment on Plant Growth"
"datasets","Puromycin","Reaction Velocity of an Enzymatic Reaction"
"datasets","Seatbelts","Road Casualties in Great Britain 1969-84"
"datasets","Theoph","Pharmacokinetics of Theophylline"
"datasets","Titanic","Survival of passengers on the Titanic"
"datasets","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs"
"datasets","UCBAdmissions","Student Admissions at UC Berkeley"
"datasets","UKDriverDeaths","Road Casualties in Great Britain 1969-84"
"datasets","UKgas","UK Quarterly Gas Consumption"
"datasets","USAccDeaths","Accidental Deaths in the US 1973-1978"
"datasets","USArrests","Violent Crime Rates by US State"
"datasets","USJudgeRatings","Lawyers' Ratings of State Judges in the US Superior Court"
"datasets","USPersonalExpenditure","Personal Expenditure Data"
"datasets","VADeaths","Death Rates in Virginia (1940)"
"datasets","WWWusage","Internet Usage per Minute"
"datasets","WorldPhones","The World's Telephones"
"datasets","ability.cov","Ability and Intelligence Tests"
"datasets","airmiles","Passenger Miles on Commercial US Airlines, 1937-1960"
"datasets","airquality","New York Air Quality Measurements"
"datasets","anscombe","Anscombe's Quartet of 'Identical' Simple Linear Regressions"
"datasets","attenu","The Joyner-Boore Attenuation Data"
"datasets","attitude","The Chatterjee-Price Attitude Data"
"datasets","austres","Quarterly Time Series of the Number of Australian Residents"
"datasets","beaver1 (beavers)","Body Temperature Series of Two Beavers"
"datasets","beaver2 (beavers)","Body Temperature Series of Two Beavers"
"datasets","cars","Speed and Stopping Distances of Cars"
"datasets","chickwts","Chicken Weights by Feed Type"
"datasets","co2","Mauna Loa Atmospheric CO2 Concentration"
"datasets","crimtab","Student's 3000 Criminals Data"
"datasets","discoveries","Yearly Numbers of Important Discoveries"
"datasets","esoph","Smoking, Alcohol and (O)esophageal Cancer"
"datasets","euro","Conversion Rates of Euro Currencies"
"datasets","euro.cross (euro)","Conversion Rates of Euro Currencies"
"datasets","eurodist","Distances Between European Cities"
"datasets","faithful","Old Faithful Geyser Data"
"datasets","fdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","freeny","Freeny's Revenue Data"
"datasets","freeny.x (freeny)","Freeny's Revenue Data"
"datasets","freeny.y (freeny)","Freeny's Revenue Data"
"datasets","infert","Infertility after Spontaneous and Induced Abortion"
"datasets","iris","Edgar Anderson's Iris Data"
"datasets","iris3","Edgar Anderson's Iris Data"
"datasets","islands","Areas of the World's Major Landmasses"
"datasets","ldeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","lh","Luteinizing Hormone in Blood Samples"
"datasets","longley","Longley's Economic Regression Data"
"datasets","lynx","Annual Canadian Lynx trappings 1821-1934"
"datasets","mdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","morley","Michaelson-Morley Speed of Light Data"
"datasets","mtcars","Motor Trend Car Road Tests"
"datasets","nhtemp","Average Yearly Temperatures in New Haven"
"datasets","nottem","Average Monthly Temperatures at Nottingham, 1920-1939"
"datasets","occupationalStatus","Occupational Status of Fathers and their Sons"
"datasets","precip","Annual Precipitation in US Cities"
"datasets","presidents","Quarterly Approval Ratings of US Presidents"
"datasets","pressure","Vapor Pressure of Mercury as a Function of Temperature"
"datasets","quakes","Locations of Earthquakes off Fiji"
"datasets","randu","Random Numbers from Congruential Generator RANDU"
"datasets","rivers","Lengths of Major North American Rivers"
"datasets","rock","Measurements on Petroleum Rock Samples"
"datasets","sleep","Student's Sleep Data"
"datasets","stack.loss (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stack.x (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stackloss","Brownlee's Stack Loss Plant Data"
"datasets","state.abb (state)","US State Facts and Figures"
"datasets","state.area (state)","US State Facts and Figures"
"datasets","state.center (state)","US State Facts and Figures"
"datasets","state.division (state)","US State Facts and Figures"
"datasets","state.name (state)","US State Facts and Figures"
"datasets","state.region (state)","US State Facts and Figures"
"datasets","state.x77 (state)","US State Facts and Figures"
"datasets","sunspot.month","Monthly Sunspot Data, 1749-1997"
"datasets","sunspot.year","Yearly Sunspot Data, 1700-1988"
"datasets","sunspots","Monthly Sunspot Numbers, 1749-1983"
"datasets","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data"
"datasets","treering","Yearly Treering Data, -6000-1979"
"datasets","trees","Girth, Height and Volume for Black Cherry Trees"
"datasets","uspop","Populations Recorded by the US Census"
"datasets","volcano","Topographic Information on Auckland's Maunga Whau Volcano"
"datasets","warpbreaks","The Number of Breaks in Yarn during Weaving"
"datasets","women","Average Heights and Weights for American Women"
"boot","acme","Monthly Excess Returns"
"boot","aids","Delay in AIDS Reporting in England and Wales"
"boot","aircondit","Failures of Air-conditioning Equipment"
"boot","aircondit7","Failures of Air-conditioning Equipment"
"boot","amis","Car Speeding and Warning Signs"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia"
"boot","beaver","Beaver Body Temperature Data"
"boot","bigcity","Population of U.S. Cities"
"boot","brambles","Spatial Location of Bramble Canes"
"boot","breslow","Smoking Deaths Among Doctors"
"boot","calcium","Calcium Uptake Data"
"boot","cane","Sugar-cane Disease Data"
"boot","capability","Simulated Manufacturing Process Data"
"boot","catsM","Weight Data for Domestic Cats"
"boot","cav","Position of Muscle Caveolae"
"boot","cd4","CD4 Counts for HIV-Positive Patients"
"boot","cd4.nested","Nested Bootstrap of cd4 data"
"boot","channing","Channing House Data"
"boot","city","Population of U.S. Cities"
"boot","claridge","Genetic Links to Left-handedness"
"boot","cloth","Number of Flaws in Cloth"
"boot","co.transfer","Carbon Monoxide Transfer"
"boot","coal","Dates of Coal Mining Disasters"
"boot","darwin","Darwin's Plant Height Differences"
"boot","dogs","Cardiac Data for Domestic Dogs"
"boot","downs.bc","Incidence of Down's Syndrome in British Columbia"
"boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks"
"boot","fir","Counts of Balsam-fir Seedlings"
"boot","frets","Head Dimensions in Brothers"
"boot","grav","Acceleration Due to Gravity"
"boot","gravity","Acceleration Due to Gravity"
"boot","hirose","Failure Time of PET Film"
"boot","islay","Jura Quartzite Azimuths on Islay"
"boot","manaus","Average Heights of the Rio Negro river at Manaus"
"boot","melanoma","Survival from Malignant Melanoma"
"boot","motor","Data from a Simulated Motorcycle Accident"
"boot","neuro","Neurophysiological Point Process Data"
"boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems"
"boot","nodal","Nodal Involvement in Prostate Cancer"
"boot","nuclear","Nuclear Power Station Construction Data"
"boot","paulsen","Neurotransmission in Guinea Pig Brains"
"boot","poisons","Animal Survival Times"
"boot","polar","Pole Positions of New Caledonian Laterites"
"boot","remission","Cancer Remission and Cell Activity"
"boot","salinity","Water Salinity and River Discharge"
"boot","survival","Survival of Rats after Radiation Doses"
"boot","tau","Tau Particle Decay Modes"
"boot","tuna","Tuna Sighting Data"
"boot","urine","Urine Analysis Data"
"boot","wool","Australian Relative Wool Prices"
"cluster","agriculture","European Union Agricultural Workforces"
"cluster","animals","Attributes of Animals"
"cluster","chorSub","Subset of C-horizon of Kola Data"
"cluster","flower","Flower Characteristics"
"cluster","plantTraits","Plant Species Traits Data"
"cluster","pluton","Isotopic Composition Plutonium Batches"
"cluster","ruspini","Ruspini Data"
"cluster","votes.repub","Votes for Republican Candidate in Presidential Elections"
"cluster","xclara","Bivariate Data Set with 3 Clusters"
"lattice","barley","Yield data from a Minnesota barley trial"
"lattice","environmental","Atmospheric environmental conditions in New York City"
"lattice","ethanol","Engine exhaust fumes from burning ethanol"
"lattice","melanoma","Melanoma skin cancer incidence"
"lattice","singer","Heights of New York Choral Society singers"
"MASS","Aids2","Australian AIDS Survival Data"
"MASS","Animals","Brain and Body Weights for 28 Species"
"MASS","Boston","Housing Values in Suburbs of Boston"
"MASS","Cars93","Data from 93 Cars on Sale in the USA in 1993"
"MASS","Cushings","Diagnostic Tests on Patients with Cushing's Syndrome"
"MASS","DDT","DDT in Kale"
"MASS","GAGurine","Level of GAG in Urine of Children"
"MASS","Insurance","Numbers of Car Insurance claims"
"MASS","Melanoma","Survival from Malignant Melanoma"
"MASS","OME","Tests of Auditory Perception in Children with OME"
"MASS","Pima.te","Diabetes in Pima Indian Women"
"MASS","Pima.tr","Diabetes in Pima Indian Women"
"MASS","Pima.tr2","Diabetes in Pima Indian Women"
"MASS","Rabbit","Blood Pressure in Rabbits"
"MASS","Rubber","Accelerated Testing of Tyre Rubber"
"MASS","SP500","Returns of the Standard and Poors 500"
"MASS","Sitka","Growth Curves for Sitka Spruce Trees in 1988"
"MASS","Sitka89","Growth Curves for Sitka Spruce Trees in 1989"
"MASS","Skye","AFM Compositions of Aphyric Skye Lavas"
"MASS","Traffic","Effect of Swedish Speed Limits on Accidents"
"MASS","UScereal","Nutritional and Marketing Information on US Cereals"
"MASS","UScrime","The Effect of Punishment Regimes on Crime Rates"
"MASS","VA","Veteran's Administration Lung Cancer Trial"
"MASS","abbey","Determinations of Nickel Content"
"MASS","accdeaths","Accidental Deaths in the US 1973-1978"
"MASS","anorexia","Anorexia Data on Weight Change"
"MASS","bacteria","Presence of Bacteria after Drug Treatments"
"MASS","beav1","Body Temperature Series of Beaver 1"
"MASS","beav2","Body Temperature Series of Beaver 2"
"MASS","biopsy","Biopsy Data on Breast Cancer Patients"
"MASS","birthwt","Risk Factors Associated with Low Infant Birth Weight"
"MASS","cabbages","Data from a cabbage field trial"
"MASS","caith","Colours of Eyes and Hair of People in Caithness"
"MASS","cats","Anatomical Data from Domestic Cats"
"MASS","cement","Heat Evolved by Setting Cements"
"MASS","chem","Copper in Wholemeal Flour"
"MASS","coop","Co-operative Trial in Analytical Chemistry"
"MASS","cpus","Performance of Computer CPUs"
"MASS","crabs","Morphological Measurements on Leptograpsus Crabs"
"MASS","deaths","Monthly Deaths from Lung Diseases in the UK"
"MASS","drivers","Deaths of Car Drivers in Great Britain 1969-84"
"MASS","eagles","Foraging Ecology of Bald Eagles"
"MASS","epil","Seizure Counts for Epileptics"
"MASS","farms","Ecological Factors in Farm Management"
"MASS","fgl","Measurements of Forensic Glass Fragments"
"MASS","forbes","Forbes' Data on Boiling Points in the Alps"
"MASS","galaxies","Velocities for 82 Galaxies"
"MASS","gehan","Remission Times of Leukaemia Patients"
"MASS","genotype","Rat Genotype Data"
"MASS","geyser","Old Faithful Geyser Data"
"MASS","gilgais","Line Transect of Soil in Gilgai Territory"
"MASS","hills","Record Times in Scottish Hill Races"
"MASS","housing","Frequency Table from a Copenhagen Housing Conditions Survey"
"MASS","immer","Yields from a Barley Field Trial"
"MASS","leuk","Survival Times and White Blood Counts for Leukaemia Patients"
"MASS","mammals","Brain and Body Weights for 62 Species of Land Mammals"
"MASS","mcycle","Data from a Simulated Motorcycle Accident"
"MASS","menarche","Age of Menarche in Warsaw"
"MASS","michelson","Michelson's Speed of Light Data"
"MASS","minn38","Minnesota High School Graduates of 1938"
"MASS","motors","Accelerated Life Testing of Motorettes"
"MASS","muscle","Effect of Calcium Chloride on Muscle Contraction in Rat Hearts"
"MASS","newcomb","Newcomb's Measurements of the Passage Time of Light"
"MASS","nlschools","Eighth-Grade Pupils in the Netherlands"
"MASS","npk","Classical N, P, K Factorial Experiment"
"MASS","npr1","US Naval Petroleum Reserve No. 1 data"
"MASS","oats","Data from an Oats Field Trial"
"MASS","painters","The Painter's Data of de Piles"
"MASS","petrol","N. L. Prater's Petrol Refinery Data"
"MASS","phones","Belgium Phone Calls 1950-1973"
"MASS","quine","Absenteeism from School in Rural New South Wales"
"MASS","road","Road Accident Deaths in US States"
"MASS","rotifer","Numbers of Rotifers by Fluid Density"
"MASS","ships","Ships Damage Data"
"MASS","shoes","Shoe wear data of Box, Hunter and Hunter"
"MASS","shrimp","Percentage of Shrimp in Shrimp Cocktail"
"MASS","shuttle","Space Shuttle Autolander Problem"
"MASS","snails","Snail Mortality Data"
"MASS","steam","The Saturated Steam Pressure Data"
"MASS","stormer","The Stormer Viscometer Data"
"MASS","survey","Student Survey Data"
"MASS","synth.te","Synthetic Classification Problem"
"MASS","synth.tr","Synthetic Classification Problem"
"MASS","topo","Spatial Topographic Data"
"MASS","waders","Counts of Waders at 15 Sites in South Africa"
"MASS","whiteside","House Insulation: Whiteside's Data"
"MASS","wtloss","Weight Loss Data from an Obese Patient"
"Matrix","CAex","Albers' example Matrix with ""Difficult"" Eigen Factorization"
"Matrix","KNex","Koenker-Ng Example Sparse Model Matrix and Response Vector"
"Matrix","USCounties","USCounties Contiguity Matrix"
"mgcv","columb","Reduced version of Columbus OH crime data"
"mgcv","columb.polys","Reduced version of Columbus OH crime data"
"nlme","Alfalfa","Split-Plot Experiment on Varieties of Alfalfa"
"nlme","Assay","Bioassay on Cell Culture Plate"
"nlme","BodyWeight","Rat weight over time for different diets"
"nlme","Cefamandole","Pharmacokinetics of Cefamandole"
"nlme","Dialyzer","High-Flux Hemodialyzer"
"nlme","Earthquake","Earthquake Intensity"
"nlme","Fatigue","Cracks caused by metal fatigue"
"nlme","Gasoline","Refinery yield of gasoline"
"nlme","Glucose","Glucose levels over time"
"nlme","Glucose2","Glucose Levels Following Alcohol Ingestion"
"nlme","Gun","Methods for firing naval guns"
"nlme","IGF","Radioimmunoassay of IGF-I Protein"
"nlme","Machines","Productivity Scores for Machines and Workers"
"nlme","MathAchSchool","School demographic data for MathAchieve"
"nlme","MathAchieve","Mathematics achievement scores"
"nlme","Meat","Tenderness of meat"
"nlme","Milk","Protein content of cows' milk"
"nlme","Muscle","Contraction of heart muscle sections"
"nlme","Nitrendipene","Assay of nitrendipene"
"nlme","Oats","Split-plot Experiment on Varieties of Oats"
"nlme","Orthodont","Growth curve data on an orthdontic measurement"
"nlme","Ovary","Counts of Ovarian Follicles"
"nlme","Oxboys","Heights of Boys in Oxford"
"nlme","Oxide","Variability in Semiconductor Manufacturing"
"nlme","PBG","Effect of Phenylbiguanide on Blood Pressure"
"nlme","Phenobarb","Phenobarbitol Kinetics"
"nlme","Pixel","X-ray pixel intensities over time"
"nlme","Quinidine","Quinidine Kinetics"
"nlme","Rail","Evaluation of Stress in Railway Rails"
"nlme","RatPupWeight","The weight of rat pups"
"nlme","Relaxin","Assay for Relaxin"
"nlme","Remifentanil","Pharmacokinetics of remifentanil"
"nlme","Soybean","Growth of soybean plants"
"nlme","Spruce","Growth of Spruce Trees"
"nlme","Tetracycline1","Pharmacokinetics of tetracycline"
"nlme","Tetracycline2","Pharmacokinetics of tetracycline"
"nlme","Wafer","Modeling of Analog MOS Circuits"
"nlme","Wheat","Yields by growing conditions"
"nlme","Wheat2","Wheat Yield Trials"
"nlme","bdf","Language scores"
"nlme","ergoStool","Ergometrics experiment with stool types"
"rpart","car.test.frame","Automobile Data from 'Consumer Reports' 1990"
"rpart","cu.summary","Automobile Data from 'Consumer Reports' 1990"
"rpart","kyphosis","Data on Children who have had Corrective Spinal Surgery"
"rpart","solder","Soldering of Components on Printed-Circuit Boards"
"survival","aml (leukemia)","Acute Myelogenous Leukemia survival data"
"survival","bladder","Bladder Cancer Recurrences"
"survival","bladder1 (bladder)","Bladder Cancer Recurrences"
"survival","bladder2 (bladder)","Bladder Cancer Recurrences"
"survival","cancer","NCCTG Lung Cancer Data"
"survival","cgd","Chronic Granulotomous Disease data"
"survival","colon","Chemotherapy for Stage B/C colon cancer"
"survival","heart","Stanford Heart Transplant data"
"survival","jasa (heart)","Stanford Heart Transplant data"
"survival","jasa1 (heart)","Stanford Heart Transplant data"
"survival","kidney","Kidney catheter data"
"survival","leukemia","Acute Myelogenous Leukemia survival data"
"survival","lung","NCCTG Lung Cancer Data"
"survival","mgus","Monoclonal gammapothy data"
"survival","mgus1 (mgus)","Monoclonal gammapothy data"
"survival","mgus2 (mgus)","Monoclonal gammapothy data"
"survival","nwtco","Data from the National Wilm's Tumor Study"
"survival","ovarian","Ovarian Cancer Survival Data"
"survival","pbc","Mayo Clinic Primary Biliary Cirrhosis Data"
"survival","pbcseq (pbc)","Mayo Clinic Primary Biliary Cirrhosis, sequential data"
"survival","rats","Rat data from Gail et al."
"survival","stanford2","More Stanford Heart Transplant data"
"survival","survexp.mn (survexp)","Census Data Sets for the Expected Survival and Person Years Functions"
"survival","survexp.us (survexp)","Census Data Sets for the Expected Survival and Person Years Functions"
"survival","survexp.usr (survexp)","Census Data Sets for the Expected Survival and Person Years Functions"
"survival","tobin","Tobin's Tobit data"
"survival","veteran","Veterans' Administration Lung Cancer study"
